Campaign,Channel,Date,Region,Sales Rep,AVG Deal Size,Clicks,Conversion Rate,Conversions,CPC,CTR,Impressions,Revenue,ROAS,Spend
Campaign C,Email,7/11/2023,Europe,Alice,110.014423676,2065,0.155447942,321,0.517142857,0.375933006,5493,35314.63,33.069229329,1067.9
Campaign D,Organic,10/4/2023,APAC,Alice,110.014398148,1363,0.158473955,216,1.462743947,0.038690814,35228,23763.11,11.918980599,1993.72
Campaign E,Organic,6/10/2023,LATAM,Eva,110.014285714,2142,0.003267974,7,0.768692810,0.141479524,15140,770.1,0.467708042,1646.54
Campaign A,Email,11/10/2023,North America,Diana,110.014432990,2180,0.177981651,388,0.582073394,0.066758536,32655,42685.6,33.639315323,1268.92
Campaign A,Facebook Ads,1/22/2023,North America,Carlos,110.014426230,1196,0.153010033,183,0.570133779,0.026893326,44472,20132.64,29.525195049,681.88
Campaign E,Organic,9/10/2023,North America,Diana,110.014421965,407,0.850122850,346,3.158230958,0.052072671,7816,38064.99,29.613342150,1285.4
Campaign E,LinkedIn,8/24/2023,Europe,Alice,110.014429967,1601,0.191755153,307,0.687932542,0.126671414,12639,33774.43,30.665555939,1101.38
Campaign C,Facebook Ads,12/11/2023,APAC,Alice,110.014429825,1139,0.400351185,456,0.798560140,0.023634628,48192,50166.58,55.154778134,909.56
Campaign A,LinkedIn,2/18/2023,LATAM,Frank,110.014416667,1730,0.277456647,480,0.201358382,0.036243270,47733,52806.92,151.591560212,348.35
Campaign D,Google Ads,2/28/2023,APAC,Diana,110.014434524,2472,0.135922330,336,0.721905340,0.081070445,30492,36964.85,20.713821412,1784.55
Campaign B,Facebook Ads,6/19/2023,APAC,Diana,110.014523810,211,0.199052133,42,4.524123223,0.017238562,12240,4620.61,4.840413162,954.59
Campaign B,Organic,7/7/2023,APAC,Alice,110.014410377,2419,0.175279041,424,0.194204217,0.071784676,33698,46646.11,99.293520371,469.78
Campaign E,Facebook Ads,9/28/2023,North America,Carlos,110.014403292,499,0.486973948,243,1.600681363,0.017848839,27957,26733.5,33.469589604,798.74
Campaign C,Facebook Ads,7/9/2023,LATAM,Eva,110.014393064,1547,0.111829347,173,0.573270847,0.045758400,33808,19032.49,21.460776907,886.85
Campaign B,Facebook Ads,6/24/2023,LATAM,Eva,110.014420131,1086,0.420810313,457,1.539889503,0.159074264,6827,50276.59,30.063976990,1672.32
Campaign A,Facebook Ads,2/20/2023,APAC,Diana,110.014413965,2281,0.175800088,401,0.654918895,0.067561163,33762,44115.78,29.531204188,1493.87
Campaign E,LinkedIn,12/30/2023,North America,Eva,110.014409222,2208,0.157155797,347,0.707282609,0.238470677,9259,38175,24.444828646,1561.68
Campaign D,Google Ads,2/24/2023,North America,Alice,110.014433962,2000,0.159,318,0.06048,0.126190927,15849,34984.59,289.224454365,120.96
Campaign E,Email,9/1/2023,LATAM,Alice,110.014419355,2605,0.119001919,310,0.341915547,0.151172238,17232,34104.47,38.289943751,890.69
Campaign D,Facebook Ads,11/16/2023,North America,Diana,110.014411765,1363,0.024944974,34,0.744350697,0.032786491,41572,3740.49,3.686846385,1014.55
Campaign E,Organic,5/11/2023,North America,Diana,110.014432990,2392,0.081103679,194,0.057052676,0.095022445,25173,21342.8,156.391880999,136.47
Campaign E,Facebook Ads,11/3/2023,North America,Frank,110.014432133,1288,0.280279503,361,0.460908385,0.202070913,6374,39715.21,66.900042112,593.65
Campaign E,Organic,5/15/2023,Europe,Diana,110.014482759,1023,0.028347996,29,1.509824047,0.046135113,22174,3190.42,2.065598394,1544.55
Campaign D,LinkedIn,1/21/2023,APAC,Carlos,110.014396552,681,0.170337739,116,0.529383260,0.027720112,24567,12761.67,35.398934842,360.51
Campaign D,Organic,11/25/2023,LATAM,Eva,110.014409639,1640,0.253048780,415,0.681152439,0.045189022,36292,45655.98,40.870458065,1117.09
Campaign E,Email,6/16/2023,LATAM,Diana,110.014419134,1100,0.399090909,439,0.462618182,0.107035127,10277,48296.33,94.907109731,508.88
Campaign B,Google Ads,10/1/2023,Europe,Bob,110.014428571,2830,0.074204947,210,0.043473498,0.086809816,32600,23103.03,187.783711290,123.03
Campaign C,Organic,3/30/2023,APAC,Frank,110.014444444,1638,0.115384615,189,0.340830281,0.150482315,10885,20792.73,37.244268109,558.28
Campaign C,Organic,11/12/2023,LATAM,Bob,110.014430052,2418,0.159636063,386,0.808172043,1.359955006,1778,42465.57,21.730856225,1954.16
Campaign C,Google Ads,1/14/2023,North America,Alice,110.014412533,1743,0.219736087,383,0.931107286,0.057782198,30165,42135.52,25.962783132,1622.92
Campaign D,Email,8/30/2023,LATAM,Eva,110.014509804,486,0.104938272,51,3.957201646,0.195024077,2492,5610.74,2.917398087,1923.2
Campaign D,Facebook Ads,9/22/2023,North America,Diana,110.014417989,2878,0.131341209,378,0.356817234,0.091475431,31462,41585.45,40.495316091,1026.92
Campaign B,Organic,12/12/2023,Europe,Bob,110.014439655,1606,0.144458281,232,0.192092154,0.109887102,14615,25523.35,82.733711507,308.5
Campaign C,Google Ads,2/22/2023,North America,Eva,110.014418605,1126,0.038188277,43,1.013428064,0.024531590,45900,4730.62,4.145593803,1141.12
Campaign C,LinkedIn,12/6/2023,LATAM,Alice,110.0145,1354,0.014771049,20,0.711462334,0.030810540,43946,2200.29,2.284069676,963.32
Campaign E,Google Ads,4/2/2023,LATAM,Carlos,110.014230769,2823,0.009210060,26,0.603712363,0.318947012,8851,2860.37,1.678345108,1704.28
Campaign D,LinkedIn,9/21/2023,LATAM,Frank,110.014423963,2128,0.101973684,217,0.134567669,0.123091161,17288,23873.13,83.367544350,286.36
Campaign C,Email,2/4/2023,Europe,Eva,110.014426752,2434,0.129005752,314,0.422210353,0.298430603,8156,34544.53,33.614746122,1027.66
Campaign B,Facebook Ads,7/25/2023,Europe,Eva,110.014444444,232,0.659482759,153,1.659870690,0.076215506,3044,16832.21,43.709808097,385.09
Campaign B,Google Ads,3/22/2023,APAC,Carlos,110.014413043,2641,0.174176448,460,0.271442635,0.315607075,8368,50606.63,70.592888629,716.88
Campaign C,Organic,2/19/2023,LATAM,Eva,110.014408163,1519,0.161290323,245,0.988136932,0.072679426,20900,26953.53,17.957287905,1500.98
Campaign D,Email,12/26/2023,North America,Alice,110.014420290,1529,0.180510137,276,0.656919555,0.048386076,31600,30363.98,30.230060831,1004.43
Campaign B,Google Ads,1/2/2023,Europe,Alice,110.014444444,1639,0.038438072,63,0.496760220,0.034575871,47403,6930.91,8.512644469,814.19
Campaign E,Organic,2/23/2023,LATAM,Carlos,110.014432990,1637,0.177764203,291,0.518937080,0.061462792,26634,32014.2,37.685932902,849.5
Campaign B,Google Ads,4/16/2023,LATAM,Frank,110.014418605,709,0.606488011,430,1.372284908,0.069728560,10168,47306.2,48.621409117,972.95
Campaign A,LinkedIn,9/17/2023,Europe,Diana,110.014417476,209,0.985645933,206,7.614976077,0.009516871,21961,22662.97,14.239737862,1591.53
Campaign A,Google Ads,11/6/2023,APAC,Bob,110.014444444,2509,0.014348346,36,0.715408529,0.055636864,45096,3960.52,2.206466996,1794.96
Campaign D,Google Ads,7/10/2023,Europe,Diana,110.014429530,1061,0.421300660,447,1.805032988,0.022532759,47087,49176.45,25.677731132,1915.14
Campaign C,Google Ads,8/6/2023,Europe,Eva,110.014397590,102,1.627450980,166,15.638431373,0.004104297,24852,18262.39,11.448912934,1595.12
Campaign D,Email,2/13/2023,North America,Bob,110.014440154,2505,0.103393214,259,0.279149701,0.073438874,34110,28493.74,40.747837030,699.27
Campaign D,Google Ads,6/11/2023,North America,Carlos,110.014418605,2944,0.087635870,258,0.478077446,0.088744197,33174,28383.72,20.166626405,1407.46
Campaign D,Organic,7/21/2023,APAC,Carlos,110.014615385,1095,0.011872146,13,0.850639269,0.031094704,35215,1430.19,1.535444737,931.45
Campaign D,LinkedIn,9/27/2023,LATAM,Frank,110.014413646,1103,0.425203989,469,0.529347235,0.039456269,27955,51596.76,88.370287907,583.87
Campaign E,LinkedIn,12/17/2023,Europe,Bob,110.014405594,2800,0.051071429,143,0.606307143,0.369344414,7581,15732.06,9.266908568,1697.66
Campaign E,Google Ads,10/31/2023,APAC,Alice,110.014421488,2357,0.205345779,484,0.073402630,0.051667069,45619,53246.98,307.768221490,173.01
Campaign B,Email,9/28/2023,North America,Bob,110.014285714,1278,0.010954617,14,1.418896714,0.174661747,7317,1540.2,0.849367193,1813.35
Campaign A,Email,8/3/2023,Europe,Eva,110.014403670,1544,0.141191710,218,0.632648964,0.035206129,43856,23983.14,24.552512771,976.81
Campaign D,Organic,9/9/2023,LATAM,Alice,110.014404332,2873,0.096414897,277,0.456206056,0.061501905,46714,30473.99,23.250518815,1310.68
Campaign B,Google Ads,7/9/2023,North America,Carlos,110.014420732,1539,0.213125406,328,0.878992853,0.055662049,27649,36084.73,26.674697103,1352.77
Campaign A,LinkedIn,10/23/2023,North America,Bob,110.014423077,1085,0.047926267,52,1.659649770,0.044961048,24132,5720.75,3.176923675,1800.72
Campaign C,Email,8/1/2023,North America,Diana,110.014431818,2000,0.22,440,0.654835,0.112429029,17789,48406.35,36.960722930,1309.67
Campaign E,Google Ads,7/27/2023,APAC,Frank,110.014434783,899,0.127919911,115,1.408754171,0.057750369,15567,12651.66,9.989703665,1266.47
Campaign A,Email,8/25/2023,LATAM,Diana,110.014394904,403,0.389578164,157,0.562382134,0.025397025,15868,17272.26,76.210112954,226.64
Campaign C,Email,12/4/2023,Europe,Frank,110.014409449,1148,0.110627178,127,0.945104530,0.045250296,25370,13971.83,12.877500046,1084.98
Campaign A,LinkedIn,2/22/2023,APAC,Eva,110.014425428,2970,0.137710438,409,0.129737374,0.068224106,43533,44995.9,116.775407454,385.32
Campaign E,Facebook Ads,10/7/2023,APAC,Diana,110.014432133,1789,0.201788709,361,0.839083287,0.056824318,31483,39715.21,26.457052068,1501.12
Campaign E,Organic,8/5/2023,APAC,Bob,110.014433962,1514,0.070013210,106,0.708863937,0.112431308,13466,11661.53,10.865926837,1073.22
Campaign B,Organic,9/9/2023,North America,Bob,110.014408163,1040,0.235576923,245,1.338875,0.034895816,29803,26953.53,19.357188512,1392.43
Campaign D,LinkedIn,7/7/2023,LATAM,Diana,110.014430769,1314,0.247336377,325,0.136362253,0.068330733,19230,35754.69,199.546210515,179.18
Campaign A,Email,2/10/2023,APAC,Bob,110.014410256,1934,0.100827301,195,0.135005171,0.102534196,18862,21452.81,82.163194178,261.1
Campaign A,Google Ads,6/6/2023,Europe,Eva,110.014434389,1859,0.118881119,221,0.785911781,0.041911848,44355,24313.19,16.641357691,1461.01
Campaign C,Email,1/15/2023,LATAM,Alice,110.014363636,2391,0.023002928,55,0.099104977,0.074118851,32259,6050.79,25.535069210,236.96
Campaign E,LinkedIn,10/28/2023,Europe,Eva,110.014425676,2306,0.128360798,296,0.102077190,0.066765106,34539,32564.27,138.341773227,235.39
Campaign A,Organic,3/6/2023,LATAM,Frank,110.014470588,1161,0.073212748,85,0.105951766,0.050678773,22909,9351.23,76.020079668,123.01
Campaign E,Email,12/11/2023,Europe,Eva,110.014421907,867,0.568627451,493,2.211476355,0.027268438,31795,54237.11,28.287537487,1917.35
Campaign A,Organic,11/23/2023,North America,Frank,110.014418605,1849,0.209302326,387,0.811936182,0.189252815,9770,42575.58,28.359708780,1501.27
Campaign B,Google Ads,1/9/2023,APAC,Bob,110.014456522,2010,0.045771144,92,0.383671642,0.166211858,12093,10121.33,13.124471589,771.18
Campaign D,Organic,12/10/2023,Europe,Alice,110.014444444,2487,0.079613993,198,0.266755127,0.052279750,47571,21782.86,32.834192518,663.42
Campaign A,Organic,5/9/2023,LATAM,Bob,110.014444444,2422,0.044591247,108,0.315623452,2.030176027,1193,11881.56,15.542828737,764.44
Campaign E,Facebook Ads,5/16/2023,APAC,Carlos,110.014436364,938,0.293176972,275,1.675735608,0.026219427,35775,30253.97,19.247487022,1571.84
Campaign B,Facebook Ads,3/4/2023,APAC,Bob,110.0144,1905,0.052493438,100,0.712125984,0.102590339,18569,11001.44,8.109568038,1356.6
Campaign A,Facebook Ads,5/19/2023,LATAM,Frank,110.014426230,1230,0.347154472,427,0.367373984,0.100902379,12190,46976.16,103.959457366,451.87
Campaign C,Organic,3/22/2023,Europe,Bob,110.014412533,717,0.534170153,383,0.600850767,0.016387822,43752,42135.52,97.805343423,430.81
Campaign D,LinkedIn,6/12/2023,North America,Bob,110.014405941,682,0.296187683,202,0.420747801,0.020463888,33327,22222.91,77.445234361,286.95
Campaign A,Organic,10/16/2023,North America,Alice,110.014,2674,0.001869858,5,0.506574420,0.062084978,43070,550.07,0.406081590,1354.58
Campaign B,LinkedIn,9/18/2023,Europe,Bob,110.014428858,1692,0.294917258,499,0.917440898,0.079106083,21389,54897.2,35.364843362,1552.31
Campaign C,LinkedIn,8/19/2023,APAC,Alice,110.014428224,186,2.209677419,411,3.245107527,0.004514892,41197,45215.93,74.911661890,603.59
Campaign B,Facebook Ads,2/10/2023,APAC,Diana,110.014424084,1996,0.191382766,382,0.070040080,0.612082183,3261,42025.51,300.611659514,139.8
Campaign B,Email,1/28/2023,APAC,Carlos,110.014444444,1747,0.097882084,171,0.146611334,0.059484490,29369,18812.47,73.448912662,256.13
Campaign C,Google Ads,5/15/2023,APAC,Alice,110.014384615,477,0.272536688,130,4.064842767,0.017337889,27512,14301.87,7.376166236,1938.93
Campaign B,Facebook Ads,7/20/2023,Europe,Frank,110.014416404,1525,0.207868852,317,0.433672131,0.197641265,7716,34874.57,52.732395857,661.35
Campaign C,Facebook Ads,11/24/2023,APAC,Diana,110.014470588,2709,0.031376892,85,0.576419343,0.121703581,22259,9351.23,5.988543214,1561.52
Campaign A,Email,9/25/2023,LATAM,Alice,110.014431280,868,0.486175115,422,1.482557604,0.028998096,29933,46426.09,36.077032467,1286.86
Campaign C,Google Ads,2/2/2023,APAC,Alice,110.014431373,2238,0.113941019,255,0.368941019,0.052425683,42689,28053.68,33.976044278,825.69
Campaign C,Organic,2/17/2023,North America,Carlos,110.014393064,1156,0.149653979,173,0.424576125,0.214949795,5378,19032.49,38.777714390,490.81
Campaign D,Organic,3/3/2023,APAC,Frank,110.014428274,2274,0.211521548,481,0.145395778,0.054685809,41583,52916.94,160.048815897,330.63
Campaign C,Facebook Ads,8/4/2023,Europe,Eva,110.014415584,247,0.311740891,77,5.135708502,0.005194969,47546,8471.11,6.677947529,1268.52
Campaign C,Google Ads,10/20/2023,North America,Eva,110.014413793,2721,0.053289232,145,0.577655274,0.130597552,20835,15952.09,10.148931162,1571.8
Campaign A,Facebook Ads,4/9/2023,Europe,Alice,110.014459459,2045,0.036185819,74,0.647149144,0.068091766,30033,8141.07,6.151539194,1323.42
Campaign D,LinkedIn,6/21/2023,Europe,Bob,110.014436090,2788,0.095408895,266,0.397263271,0.11152,25000,29263.84,26.421661836,1107.57
Campaign E,Facebook Ads,12/26/2023,North America,Frank,110.014418605,2498,0.137710168,344,0.071941553,0.053725052,46496,37844.96,210.589060152,179.71
Campaign A,Facebook Ads,8/2/2023,Europe,Diana,110.014423077,520,0.6,312,3.731019231,0.045887752,11332,34324.5,17.691855700,1940.13
Campaign A,Organic,2/4/2023,Europe,Bob,110.014417671,2315,0.107559395,249,0.698730022,0.053091459,43604,27393.59,16.935130691,1617.56
Campaign E,Organic,8/15/2023,APAC,Bob,110.014285714,1998,0.003503504,7,0.328508509,0.525789474,3800,770.1,1.173289049,656.36
Campaign C,Organic,4/11/2023,LATAM,Frank,110.014428152,978,0.348670757,341,2.006073620,0.032025673,30538,37514.92,19.121339083,1961.94
Campaign B,LinkedIn,5/11/2023,Europe,Alice,110.014477612,2060,0.032524272,67,0.603679612,0.066197500,31119,7370.97,5.927218193,1243.58
Campaign D,Organic,9/14/2023,Europe,Alice,110.014339623,2729,0.019421033,53,0.442139978,0.292403300,9333,5830.76,4.832388530,1206.6
Campaign B,Google Ads,1/5/2023,Europe,Alice,110.014375,955,0.083769634,80,1.593026178,0.148985959,6410,8801.15,5.785130214,1521.34
Campaign E,Email,8/6/2023,APAC,Alice,110.014408602,2272,0.163732394,372,0.722869718,0.120600881,18839,40925.36,24.918629290,1642.36
Campaign A,Google Ads,9/12/2023,LATAM,Eva,110.014413408,72,2.486111111,179,18.712638889,0.002284336,31519,19692.58,14.616220469,1347.31
Campaign A,Google Ads,12/25/2023,North America,Alice,110.014424779,284,0.397887324,113,1.209084507,0.041715629,6808,12431.63,36.203710175,343.38
Campaign D,Organic,10/10/2023,APAC,Eva,110.014438503,1174,0.159284497,187,0.632632027,0.150590046,7796,20572.7,27.699505864,742.71
Campaign A,Email,7/26/2023,APAC,Eva,110.014438776,978,0.200408998,196,1.905276074,0.044093778,22180,21562.83,11.572015070,1863.36
Campaign A,Email,1/15/2023,LATAM,Alice,110.014492754,572,0.120629371,69,0.920926573,0.012983476,44056,7591,14.410463770,526.77
Campaign D,Email,12/12/2023,LATAM,Carlos,110.014428152,1858,0.183530678,341,0.434402583,0.099310492,18709,37514.92,46.479978194,807.12
Campaign D,LinkedIn,2/11/2023,APAC,Diana,110.014417582,480,0.947916667,455,1.918645833,0.025885779,18543,50056.56,54.353178783,920.95
Campaign E,Organic,6/28/2023,North America,Bob,110.014414226,842,0.567695962,478,1.110296912,0.021916810,38418,52586.89,56.250484025,934.87
Campaign A,Email,3/4/2023,APAC,Eva,110.014436364,1679,0.163787969,275,0.753180465,0.055827099,30075,30253.97,23.923935821,1264.59
Campaign A,LinkedIn,12/18/2023,LATAM,Frank,110.014423077,1786,0.058230683,104,1.059260918,0.046084376,38755,11441.5,6.047815883,1891.84
Campaign E,Facebook Ads,8/19/2023,North America,Frank,110.014444444,582,0.061855670,36,0.957594502,0.011885313,48968,3960.52,7.106366181,557.32
Campaign C,Facebook Ads,8/29/2023,LATAM,Diana,110.014410112,1796,0.198218263,356,0.184214922,0.046691798,38465,39165.13,118.377300892,330.85
Campaign C,LinkedIn,2/21/2023,North America,Frank,110.014393939,1725,0.076521739,132,0.275472464,0.054758428,31502,14521.9,30.560196974,475.19
Campaign C,LinkedIn,4/6/2023,Europe,Carlos,110.014429825,1366,0.333821376,456,1.306852123,0.077070639,17724,50166.58,28.102007663,1785.16
Campaign E,Organic,8/10/2023,LATAM,Frank,110.014433498,2907,0.139662883,406,0.456498108,0.602112676,4828,44665.86,33.658261997,1327.04
Campaign A,Organic,8/19/2023,LATAM,Bob,110.014423592,962,0.387733888,373,0.668627859,0.053187372,18087,41035.38,63.796803582,643.22
Campaign E,Facebook Ads,8/25/2023,APAC,Bob,110.014431487,1174,0.292163543,343,1.405706985,0.086291804,13605,37734.95,22.865509301,1650.3
Campaign E,Email,5/23/2023,LATAM,Eva,110.014468085,1575,0.029841270,47,1.102603175,0.048705817,32337,5170.68,2.977473224,1736.6
Campaign C,Facebook Ads,6/20/2023,LATAM,Alice,110.014414894,1377,0.273057371,376,1.240653595,0.212434434,6482,41365.42,24.213242955,1708.38
Campaign B,Email,1/29/2023,Europe,Carlos,110.014420804,2968,0.142520216,423,0.621954178,0.105981075,28005,46536.1,25.209701185,1845.96
Campaign A,Email,2/5/2023,LATAM,Eva,110.014430894,2637,0.186575654,492,0.219666287,0.110984848,23760,54127.1,93.441805062,579.26
Campaign C,Organic,1/13/2023,Europe,Carlos,110.014390244,1073,0.076421249,82,1.430177074,0.166021971,6463,9021.18,5.878598705,1534.58
Campaign B,Google Ads,6/9/2023,Europe,Alice,110.014433962,1626,0.195571956,318,0.599649446,0.034139582,47628,34984.59,35.880526753,975.03
Campaign B,Google Ads,11/23/2023,Europe,Frank,110.014436860,1428,0.205182073,293,1.190336134,0.241542625,5912,32234.23,18.963542770,1699.8
Campaign D,LinkedIn,7/6/2023,Europe,Frank,110.014416058,1569,0.174633525,274,0.945908222,0.277797450,5648,30143.95,20.310855518,1484.13
Campaign A,Organic,8/31/2023,North America,Alice,110.014397590,1731,0.095898325,166,0.910023108,0.049995668,34623,18262.39,11.593328043,1575.25
Campaign B,Email,3/27/2023,APAC,Eva,110.014404145,2047,0.094284319,193,0.657894480,0.055877054,36634,21232.78,15.766408507,1346.71
Campaign C,Google Ads,10/11/2023,North America,Alice,110.014422311,276,0.909420290,251,1.583731884,0.006052366,45602,27613.62,63.173160074,437.11
Campaign D,Email,3/7/2023,LATAM,Diana,110.014413265,1309,0.299465241,392,0.867494270,0.318336576,4112,43125.65,37.977764079,1135.55
Campaign A,Google Ads,6/19/2023,North America,Bob,110.014409091,922,0.238611714,220,2.137603037,0.039993060,23054,24203.17,12.280449751,1970.87
Campaign E,Google Ads,2/14/2023,North America,Eva,110.014420063,941,0.339001063,319,1.998979809,0.171340131,5492,35094.6,18.657019521,1881.04
Campaign C,Google Ads,3/3/2023,LATAM,Carlos,110.014412470,1528,0.272905759,417,0.119129581,0.065842203,23207,45876.01,252.024446520,182.03
Campaign B,Organic,5/14/2023,LATAM,Diana,110.014431487,1086,0.315837937,343,0.380432781,0.067394812,16114,37734.95,91.334745250,413.15
Campaign B,Facebook Ads,10/11/2023,LATAM,Eva,110.014416244,2307,0.170784569,394,0.151833550,0.065381890,35285,43345.68,123.745803357,350.28
Campaign C,Email,1/28/2023,North America,Alice,110.014409449,2838,0.134249471,381,0.521268499,0.166764602,17018,41915.49,28.333529364,1479.36
Campaign B,Organic,4/18/2023,North America,Alice,110.014412371,446,1.087443946,485,3.708049327,0.019923166,22386,53356.99,32.263461504,1653.79
Campaign D,Organic,2/13/2023,LATAM,Alice,110.014416476,1173,0.372549020,437,0.431091219,0.062593383,18740,48076.3,95.074455673,505.67
Campaign A,Organic,12/6/2023,APAC,Alice,110.014418605,2128,0.080827068,172,0.498646617,0.047080688,45199,18922.48,17.832554282,1061.12
Campaign D,Organic,10/13/2023,APAC,Carlos,110.014431487,2995,0.114524207,343,0.566724541,0.325190011,9210,37734.95,22.231815665,1697.34
Campaign B,Organic,11/27/2023,Europe,Diana,110.014416244,698,0.282234957,197,2.137994269,0.015386989,45363,21672.84,14.522917337,1492.32
Campaign E,LinkedIn,5/8/2023,LATAM,Frank,110.014420131,378,1.208994709,457,2.990079365,0.008104805,46639,50276.59,44.482716213,1130.25
Campaign A,Email,12/14/2023,Europe,Bob,110.014425087,1532,0.187336815,287,0.797428198,0.111474933,13743,31574.14,25.845276100,1221.66
Campaign A,Organic,8/19/2023,APAC,Carlos,110.014411765,1001,0.339660340,340,1.064825175,0.023229370,43092,37404.9,35.092645583,1065.89
Campaign C,Email,7/9/2023,Europe,Carlos,110.014416244,2055,0.191727494,394,0.323766423,0.045365240,45299,43345.68,65.148164848,665.34
Campaign C,LinkedIn,8/13/2023,LATAM,Frank,110.014430894,2066,0.238141336,492,0.568025169,0.272272008,7588,54127.1,46.122927212,1173.54
Campaign E,LinkedIn,10/10/2023,LATAM,Frank,110.014705882,2718,0.006254599,17,0.518351729,0.630480167,4311,1870.25,1.327472886,1408.88
Campaign A,Email,5/1/2023,LATAM,Bob,110.014426230,1928,0.126556017,244,0.912505187,0.082280642,23432,26843.52,15.257981822,1759.31
Campaign E,Google Ads,4/26/2023,North America,Bob,110.014413580,1246,0.260032103,324,1.050521669,0.035850957,34755,35644.67,27.231498529,1308.95
Campaign C,Facebook Ads,8/21/2023,Europe,Frank,110.014422222,1822,0.246981339,450,0.848589462,0.421661652,4321,49506.49,32.019616720,1546.13
Campaign C,Google Ads,9/16/2023,APAC,Alice,110.014414784,211,2.308056872,487,1.915355450,0.012550559,16812,53577.02,132.570445885,404.14
Campaign A,Google Ads,12/25/2023,APAC,Carlos,110.014437086,1801,0.083842310,151,0.542454192,0.046921814,38383,16612.18,17.003951032,976.96
Campaign D,Google Ads,7/17/2023,APAC,Eva,110.014423077,825,0.252121212,208,0.142703030,0.016741071,49280,22883,194.368470228,117.73
Campaign B,Organic,5/17/2023,North America,Bob,110.014404762,1877,0.044752264,84,0.302978157,0.132687686,14146,9241.21,16.249995604,568.69
Campaign C,LinkedIn,11/14/2023,North America,Bob,110.014412533,2371,0.161535217,383,0.624327288,0.161798826,14654,42135.52,28.464560759,1480.28
Campaign C,Google Ads,6/14/2023,LATAM,Frank,110.014468085,1101,0.042688465,47,1.802397820,0.029902227,36820,5170.68,2.605611659,1984.44
Campaign D,LinkedIn,8/13/2023,APAC,Diana,110.014415584,2423,0.190672720,462,0.119042509,1.403823870,1726,50826.66,176.212245181,288.44
Campaign D,Email,11/3/2023,North America,Eva,110.014408602,989,0.094034378,93,0.872436805,0.207773109,4760,10231.34,11.857748829,862.84
