date,channel,campaign,region,sales_rep,spend,impressions,clicks,conversions,revenue
2023-02-28,Google Ads,Campaign D,APAC,Diana,1784.55,30492,2472,336,36964.85
2023-06-19,Facebook Ads,Campaign B,APAC,Diana,954.59,12240,211,42,4620.61
2023-07-07,Organic,Campaign B,APAC,Alice,469.78,33698,2419,424,46646.11
2023-09-28,Facebook Ads,Campaign E,North America,Carlos,798.74,27957,499,243,26733.5
2023-07-09,Facebook Ads,Campaign C,LATAM,Eva,886.85,33808,1547,173,19032.49
2023-06-24,Facebook Ads,Campaign B,LATAM,Eva,1672.32,6827,1086,457,50276.59
2023-02-20,Facebook Ads,Campaign A,APAC,Diana,1493.87,33762,2281,401,44115.78
2023-12-30,LinkedIn,Campaign E,North America,Eva,1561.68,9259,2208,347,38175.0
2023-02-24,Google Ads,Campaign D,North America,Alice,120.96,15849,2000,318,34984.59
2023-09-01,Email,Campaign E,LATAM,Alice,890.69,17232,2605,310,34104.47
2023-11-16,Facebook Ads,Campaign D,North America,Diana,1014.55,41572,1363,34,3740.49
2023-05-11,Organic,Campaign E,North America,Diana,136.47,25173,2392,194,21342.8
2023-11-03,Facebook Ads,Campaign E,North America,Frank,593.65,6374,1288,361,39715.21
2023-05-15,Organic,Campaign E,Europe,Diana,1544.55,22174,1023,29,3190.42
2023-01-21,LinkedIn,Campaign D,APAC,Carlos,360.51,24567,681,116,12761.67
2023-11-25,Organic,Campaign D,LATAM,Eva,1117.09,36292,1640,415,45655.98
2023-06-16,Email,Campaign E,LATAM,Diana,508.88,10277,1100,439,48296.33
2023-10-01,Google Ads,Campaign B,Europe,Bob,123.03,32600,2830,210,23103.03
2023-03-30,Organic,Campaign C,APAC,Frank,558.28,10885,1638,189,20792.73
2023-11-12,Organic,Campaign C,LATAM,Bob,1954.16,1778,2418,386,42465.57
2023-01-14,Google Ads,Campaign C,North America,Alice,1622.92,30165,1743,383,42135.52
2023-08-30,Email,Campaign D,LATAM,Eva,1923.2,2492,486,51,5610.74
2023-09-22,Facebook Ads,Campaign D,North America,Diana,1026.92,31462,2878,378,41585.45
2023-12-12,Organic,Campaign B,Europe,Bob,308.5,14615,1606,232,25523.35
2023-02-22,Google Ads,Campaign C,North America,Eva,1141.12,45900,1126,43,4730.62
2023-12-06,LinkedIn,Campaign C,LATAM,Alice,963.32,43946,1354,20,2200.29
2023-04-02,Google Ads,Campaign E,LATAM,Carlos,1704.28,8851,2823,26,2860.37
2023-09-21,LinkedIn,Campaign D,LATAM,Frank,286.36,17288,2128,217,23873.13
2023-02-04,Email,Campaign C,Europe,Eva,1027.66,8156,2434,314,34544.53
2023-07-25,Facebook Ads,Campaign B,Europe,Eva,385.09,3044,232,153,16832.21
2023-03-22,Google Ads,Campaign B,APAC,Carlos,716.88,8368,2641,460,50606.63
2023-02-19,Organic,Campaign C,LATAM,Eva,1500.98,20900,1519,245,26953.53
2023-12-26,Email,Campaign D,North America,Alice,1004.43,31600,1529,276,30363.98
2023-01-02,Google Ads,Campaign B,Europe,Alice,814.19,47403,1639,63,6930.91
2023-02-23,Organic,Campaign E,LATAM,Carlos,849.5,26634,1637,291,32014.2
2023-04-16,Google Ads,Campaign B,LATAM,Frank,972.95,10168,709,430,47306.2
2023-09-17,LinkedIn,Campaign A,Europe,Diana,1591.53,21961,209,206,22662.97
2023-11-06,Google Ads,Campaign A,APAC,Bob,1794.96,45096,2509,36,3960.52
2023-07-10,Google Ads,Campaign D,Europe,Diana,1915.14,47087,1061,447,49176.45
2023-08-06,Google Ads,Campaign C,Europe,Eva,1595.12,24852,102,166,18262.39
2023-02-13,Email,Campaign D,North America,Bob,699.27,34110,2505,259,28493.74
2023-06-11,Google Ads,Campaign D,North America,Carlos,1407.46,33174,2944,258,28383.72
2023-07-21,Organic,Campaign D,APAC,Carlos,931.45,35215,1095,13,1430.19
2023-09-27,LinkedIn,Campaign D,LATAM,Frank,583.87,27955,1103,469,51596.76
2023-12-17,LinkedIn,Campaign E,Europe,Bob,1697.66,7581,2800,143,15732.06
2023-10-31,Google Ads,Campaign E,APAC,Alice,173.01,45619,2357,484,53246.98
2023-09-28,Email,Campaign B,North America,Bob,1813.35,7317,1278,14,1540.2
2023-08-03,Email,Campaign A,Europe,Eva,976.81,43856,1544,218,23983.14
2023-09-09,Organic,Campaign D,LATAM,Alice,1310.68,46714,2873,277,30473.99
2023-07-09,Google Ads,Campaign B,North America,Carlos,1352.77,27649,1539,328,36084.73
2023-10-23,LinkedIn,Campaign A,North America,Bob,1800.72,24132,1085,52,5720.75
2023-08-01,Email,Campaign C,North America,Diana,1309.67,17789,2000,440,48406.35
2023-07-27,Google Ads,Campaign E,APAC,Frank,1266.47,15567,899,115,12651.66
2023-08-25,Email,Campaign A,LATAM,Diana,226.64,15868,403,157,17272.26
2023-12-04,Email,Campaign C,Europe,Frank,1084.98,25370,1148,127,13971.83
2023-02-22,LinkedIn,Campaign A,APAC,Eva,385.32,43533,2970,409,44995.9
2023-10-07,Facebook Ads,Campaign E,APAC,Diana,1501.12,31483,1789,361,39715.21
2023-08-05,Organic,Campaign E,APAC,Bob,1073.22,13466,1514,106,11661.53
2023-09-09,Organic,Campaign B,North America,Bob,1392.43,29803,1040,245,26953.53
2023-07-07,LinkedIn,Campaign D,LATAM,Diana,179.18,19230,1314,325,35754.69
2023-02-10,Email,Campaign A,APAC,Bob,261.1,18862,1934,195,21452.81
2023-06-06,Google Ads,Campaign A,Europe,Eva,1461.01,44355,1859,221,24313.19
2023-01-15,Email,Campaign C,LATAM,Alice,236.96,32259,2391,55,6050.79
2023-10-28,LinkedIn,Campaign E,Europe,Eva,235.39,34539,2306,296,32564.27
2023-03-06,Organic,Campaign A,LATAM,Frank,123.01,22909,1161,85,9351.23
2023-12-11,Email,Campaign E,Europe,Eva,1917.35,31795,867,493,54237.11
2023-11-23,Organic,Campaign A,North America,Frank,1501.27,9770,1849,387,42575.58
2023-01-09,Google Ads,Campaign B,APAC,Bob,771.18,12093,2010,92,10121.33
2023-12-10,Organic,Campaign D,Europe,Alice,663.42,47571,2487,198,21782.86
2023-05-09,Organic,Campaign A,LATAM,Bob,764.44,1193,2422,108,11881.56
2023-05-16,Facebook Ads,Campaign E,APAC,Carlos,1571.84,35775,938,275,30253.97
2023-03-04,Facebook Ads,Campaign B,APAC,Bob,1356.6,18569,1905,100,11001.44
2023-05-19,Facebook Ads,Campaign A,LATAM,Frank,451.87,12190,1230,427,46976.16
2023-03-22,Organic,Campaign C,Europe,Bob,430.81,43752,717,383,42135.52
2023-06-12,LinkedIn,Campaign D,North America,Bob,286.95,33327,682,202,22222.91
2023-10-16,Organic,Campaign A,North America,Alice,1354.58,43070,2674,5,550.07
2023-09-18,LinkedIn,Campaign B,Europe,Bob,1552.31,21389,1692,499,54897.2
2023-08-19,LinkedIn,Campaign C,APAC,Alice,603.59,41197,186,411,45215.93
2023-02-10,Facebook Ads,Campaign B,APAC,Diana,139.8,3261,1996,382,42025.51
2023-01-28,Email,Campaign B,APAC,Carlos,256.13,29369,1747,171,18812.47
2023-05-15,Google Ads,Campaign C,APAC,Alice,1938.93,27512,477,130,14301.87
2023-07-20,Facebook Ads,Campaign B,Europe,Frank,661.35,7716,1525,317,34874.57
2023-11-24,Facebook Ads,Campaign C,APAC,Diana,1561.52,22259,2709,85,9351.23
2023-09-25,Email,Campaign A,LATAM,Alice,1286.86,29933,868,422,46426.09
2023-02-02,Google Ads,Campaign C,APAC,Alice,825.69,42689,2238,255,28053.68
2023-02-17,Organic,Campaign C,North America,Carlos,490.81,5378,1156,173,19032.49
2023-03-03,Organic,Campaign D,APAC,Frank,330.63,41583,2274,481,52916.94
2023-08-04,Facebook Ads,Campaign C,Europe,Eva,1268.52,47546,247,77,8471.11
2023-10-20,Google Ads,Campaign C,North America,Eva,1571.8,20835,2721,145,15952.09
2023-04-09,Facebook Ads,Campaign A,Europe,Alice,1323.42,30033,2045,74,8141.07
2023-06-21,LinkedIn,Campaign D,Europe,Bob,1107.57,25000,2788,266,29263.84
2023-12-26,Facebook Ads,Campaign E,North America,Frank,179.71,46496,2498,344,37844.96
2023-08-02,Facebook Ads,Campaign A,Europe,Diana,1940.13,11332,520,312,34324.5
2023-02-04,Organic,Campaign A,Europe,Bob,1617.56,43604,2315,249,27393.59
2023-08-15,Organic,Campaign E,APAC,Bob,656.36,3800,1998,7,770.1
2023-04-11,Organic,Campaign C,LATAM,Frank,1961.94,30538,978,341,37514.92
2023-05-11,LinkedIn,Campaign B,Europe,Alice,1243.58,31119,2060,67,7370.97
2023-09-14,Organic,Campaign D,Europe,Alice,1206.6,9333,2729,53,5830.76
2023-01-05,Google Ads,Campaign B,Europe,Alice,1521.34,6410,955,80,8801.15
2023-08-06,Email,Campaign E,APAC,Alice,1642.36,18839,2272,372,40925.36
2023-09-12,Google Ads,Campaign A,LATAM,Eva,1347.31,31519,72,179,19692.58
2023-12-25,Google Ads,Campaign A,North America,Alice,343.38,6808,284,113,12431.63
2023-10-10,Organic,Campaign D,APAC,Eva,742.71,7796,1174,187,20572.7
2023-07-26,Email,Campaign A,APAC,Eva,1863.36,22180,978,196,21562.83
2023-01-15,Email,Campaign A,LATAM,Alice,526.77,44056,572,69,7591.0
2023-12-12,Email,Campaign D,LATAM,Carlos,807.12,18709,1858,341,37514.92
2023-02-11,LinkedIn,Campaign D,APAC,Diana,920.95,18543,480,455,50056.56
2023-06-28,Organic,Campaign E,North America,Bob,934.87,38418,842,478,52586.89
2023-03-04,Email,Campaign A,APAC,Eva,1264.59,30075,1679,275,30253.97
2023-12-18,LinkedIn,Campaign A,LATAM,Frank,1891.84,38755,1786,104,11441.5
2023-08-19,Facebook Ads,Campaign E,North America,Frank,557.32,48968,582,36,3960.52
2023-08-29,Facebook Ads,Campaign C,LATAM,Diana,330.85,38465,1796,356,39165.13
2023-02-21,LinkedIn,Campaign C,North America,Frank,475.19,31502,1725,132,14521.9
2023-04-06,LinkedIn,Campaign C,Europe,Carlos,1785.16,17724,1366,456,50166.58
2023-08-10,Organic,Campaign E,LATAM,Frank,1327.04,4828,2907,406,44665.86
2023-08-19,Organic,Campaign A,LATAM,Bob,643.22,18087,962,373,41035.38
2023-08-25,Facebook Ads,Campaign E,APAC,Bob,1650.3,13605,1174,343,37734.95
2023-05-23,Email,Campaign E,LATAM,Eva,1736.6,32337,1575,47,5170.68
2023-06-20,Facebook Ads,Campaign C,LATAM,Alice,1708.38,6482,1377,376,41365.42
2023-01-29,Email,Campaign B,Europe,Carlos,1845.96,28005,2968,423,46536.1
2023-02-05,Email,Campaign A,LATAM,Eva,579.26,23760,2637,492,54127.1
2023-01-13,Organic,Campaign C,Europe,Carlos,1534.58,6463,1073,82,9021.18
2023-06-09,Google Ads,Campaign B,Europe,Alice,975.03,47628,1626,318,34984.59
2023-11-23,Google Ads,Campaign B,Europe,Frank,1699.8,5912,1428,293,32234.23
2023-07-06,LinkedIn,Campaign D,Europe,Frank,1484.13,5648,1569,274,30143.95
2023-08-31,Organic,Campaign A,North America,Alice,1575.25,34623,1731,166,18262.39
2023-03-27,Email,Campaign B,APAC,Eva,1346.71,36634,2047,193,21232.78
2023-10-11,Google Ads,Campaign C,North America,Alice,437.11,45602,276,251,27613.62
2023-03-07,Email,Campaign D,LATAM,Diana,1135.55,4112,1309,392,43125.65
2023-06-19,Google Ads,Campaign A,North America,Bob,1970.87,23054,922,220,24203.17
2023-02-14,Google Ads,Campaign E,North America,Eva,1881.04,5492,941,319,35094.6
2023-03-03,Google Ads,Campaign C,LATAM,Carlos,182.03,23207,1528,417,45876.01
2023-05-14,Organic,Campaign B,LATAM,Diana,413.15,16114,1086,343,37734.95
2023-10-11,Facebook Ads,Campaign B,LATAM,Eva,350.28,35285,2307,394,43345.68
2023-01-28,Email,Campaign C,North America,Alice,1479.36,17018,2838,381,41915.49
2023-04-18,Organic,Campaign B,North America,Alice,1653.79,22386,446,485,53356.99
2023-02-13,Organic,Campaign D,LATAM,Alice,505.67,18740,1173,437,48076.3
2023-12-06,Organic,Campaign A,APAC,Alice,1061.12,45199,2128,172,18922.48
2023-10-13,Organic,Campaign D,APAC,Carlos,1697.34,9210,2995,343,37734.95
2023-11-27,Organic,Campaign B,Europe,Diana,1492.32,45363,698,197,21672.84
2023-05-08,LinkedIn,Campaign E,LATAM,Frank,1130.25,46639,378,457,50276.59
2023-12-14,Email,Campaign A,Europe,Bob,1221.66,13743,1532,287,31574.14
2023-08-19,Organic,Campaign A,APAC,Carlos,1065.89,43092,1001,340,37404.9
2023-07-09,Email,Campaign C,Europe,Carlos,665.34,45299,2055,394,43345.68
2023-08-13,LinkedIn,Campaign C,LATAM,Frank,1173.54,7588,2066,492,54127.1
2023-10-10,LinkedIn,Campaign E,LATAM,Frank,1408.88,4311,2718,17,1870.25
2023-05-01,Email,Campaign A,LATAM,Bob,1759.31,23432,1928,244,26843.52
2023-04-26,Google Ads,Campaign E,North America,Bob,1308.95,34755,1246,324,35644.67
2023-08-21,Facebook Ads,Campaign C,Europe,Frank,1546.13,4321,1822,450,49506.49
2023-09-16,Google Ads,Campaign C,APAC,Alice,404.14,16812,211,487,53577.02
2023-12-25,Google Ads,Campaign A,APAC,Carlos,976.96,38383,1801,151,16612.18
2023-07-17,Google Ads,Campaign D,APAC,Eva,117.73,49280,825,208,22883.0
2023-05-17,Organic,Campaign B,North America,Bob,568.69,14146,1877,84,9241.21
2023-11-14,LinkedIn,Campaign C,North America,Bob,1480.28,14654,2371,383,42135.52
2023-06-14,Google Ads,Campaign C,LATAM,Frank,1984.44,36820,1101,47,5170.68
2023-08-13,LinkedIn,Campaign D,APAC,Diana,288.44,1726,2423,462,50826.66
2023-11-03,Email,Campaign D,North America,Eva,862.84,4760,989,93,10231.34
2023-08-22,Facebook Ads,Campaign E,LATAM,Eva,1620.13,23190,589,152,16722.19
2023-06-21,Email,Campaign E,APAC,Bob,487.67,2875,2585,99,10891.43
2023-06-01,Email,Campaign B,Europe,Alice,1154.66,24377,871,456,50166.58
2023-11-11,Organic,Campaign B,LATAM,Diana,1492.84,47737,1511,432,47526.23
2023-06-09,Facebook Ads,Campaign A,North America,Eva,1270.37,5033,1138,155,17052.24
2023-04-06,Email,Campaign E,North America,Bob,457.25,39211,405,6,660.09
2023-08-21,Email,Campaign C,LATAM,Eva,775.23,18373,284,380,41805.48
2023-06-29,Facebook Ads,Campaign E,LATAM,Diana,1589.2,4744,2324,26,2860.37
2023-04-23,Facebook Ads,Campaign C,North America,Diana,1153.03,25995,1598,375,41255.41
2023-11-14,Email,Campaign D,Europe,Carlos,109.94,17977,2146,317,34874.57
2023-02-21,Facebook Ads,Campaign E,APAC,Frank,1545.88,33402,167,489,53797.05
2023-09-25,Email,Campaign D,Europe,Frank,167.09,35542,2151,332,36524.79
2023-10-22,Email,Campaign B,LATAM,Bob,1516.89,11651,1723,11,1210.16
2023-04-23,Organic,Campaign B,Europe,Diana,484.71,34703,2662,210,23103.03
2023-04-11,Google Ads,Campaign A,North America,Carlos,1920.34,14395,1117,444,48846.4
2023-04-23,Email,Campaign E,LATAM,Carlos,799.09,30808,2150,379,41695.47
2023-03-22,LinkedIn,Campaign D,APAC,Eva,721.17,37576,607,455,50056.56
2023-07-06,Google Ads,Campaign C,North America,Eva,382.89,17715,1865,118,12981.7
2023-04-23,Google Ads,Campaign B,North America,Carlos,680.65,45409,2055,276,30363.98
2023-01-02,Google Ads,Campaign B,APAC,Eva,1765.64,25306,2965,87,9571.25
2023-05-10,Organic,Campaign C,APAC,Diana,1993.04,20086,447,183,20132.64
2023-08-08,Email,Campaign D,Europe,Alice,799.79,15376,724,214,23543.09
2023-02-23,Organic,Campaign D,LATAM,Diana,952.36,6889,436,468,51486.75
2023-12-09,Email,Campaign E,APAC,Carlos,1471.93,38822,2208,332,36524.79
2023-08-12,Organic,Campaign E,APAC,Carlos,1783.77,37636,2711,128,14081.85
2023-08-13,Organic,Campaign A,LATAM,Diana,1226.78,21584,2114,485,53356.99
2023-05-06,LinkedIn,Campaign B,APAC,Eva,843.9,35610,933,117,12871.69
2023-05-10,Organic,Campaign E,APAC,Eva,883.98,11058,590,16,1760.23
2023-02-22,Facebook Ads,Campaign D,Europe,Frank,1421.67,10101,220,130,14301.87
2023-06-21,LinkedIn,Campaign C,North America,Carlos,106.11,13497,2506,57,6270.82
2023-08-06,Organic,Campaign D,North America,Bob,1277.22,5658,789,335,36854.83
2023-06-09,Google Ads,Campaign B,North America,Frank,775.44,12381,1451,393,43235.67
2023-07-17,Facebook Ads,Campaign D,North America,Eva,1608.97,41312,2955,287,31574.14
2023-09-04,Facebook Ads,Campaign A,APAC,Diana,276.68,41486,2327,144,15842.08
2023-11-20,Facebook Ads,Campaign B,LATAM,Eva,1217.58,47619,168,405,44555.84
2023-07-22,LinkedIn,Campaign C,LATAM,Diana,1013.85,18154,2881,394,43345.68
2023-07-03,Organic,Campaign A,Europe,Frank,1320.42,20539,2562,101,11111.46
2023-05-03,Organic,Campaign B,Europe,Carlos,223.22,12777,2201,9,990.13
2023-09-12,Google Ads,Campaign C,APAC,Eva,1201.97,35396,2795,61,6710.88
2023-10-21,Google Ads,Campaign A,LATAM,Diana,1166.82,31373,2045,416,45766.0
2023-10-07,Facebook Ads,Campaign A,LATAM,Carlos,1165.25,34154,1755,338,37184.87
2023-11-21,Google Ads,Campaign B,North America,Bob,1246.63,7031,1772,73,8031.05
2023-04-08,LinkedIn,Campaign E,APAC,Diana,1385.29,28997,2272,122,13421.76
2023-07-17,Organic,Campaign A,APAC,Frank,1629.48,7439,2842,380,41805.48
2023-08-28,Facebook Ads,Campaign A,North America,Bob,612.66,23785,1747,63,6930.91
2023-05-24,Google Ads,Campaign C,APAC,Bob,1667.59,14392,1494,37,4070.53
2023-04-07,LinkedIn,Campaign D,APAC,Alice,1046.69,29669,1809,322,35424.64
2023-07-20,LinkedIn,Campaign B,Europe,Eva,246.41,29939,1574,54,5940.78
2023-05-04,Google Ads,Campaign B,LATAM,Diana,211.25,3282,714,372,40925.36
2023-07-06,Organic,Campaign E,APAC,Bob,735.05,35624,82,493,54237.11
2023-11-22,Google Ads,Campaign E,Europe,Alice,1591.3,49438,2152,23,2530.33
2023-12-15,Facebook Ads,Campaign B,LATAM,Frank,1444.59,25364,2616,218,23983.14
2023-09-16,Google Ads,Campaign E,North America,Carlos,1598.37,2998,2853,201,22112.9
2023-05-28,LinkedIn,Campaign C,Europe,Diana,1082.81,32705,2109,383,42135.52
2023-09-09,Google Ads,Campaign B,Europe,Bob,936.38,39244,1601,454,49946.55
2023-12-12,Organic,Campaign E,LATAM,Eva,380.16,10428,769,482,53026.95
2023-05-27,Email,Campaign B,North America,Alice,723.57,38437,2652,51,5610.74
2023-05-28,Google Ads,Campaign D,Europe,Bob,924.64,13336,2470,171,18812.47
2023-12-18,Organic,Campaign A,APAC,Eva,268.34,10342,533,456,50166.58
2023-07-18,Organic,Campaign B,APAC,Bob,519.16,40832,1022,293,32234.23
2023-11-04,LinkedIn,Campaign A,APAC,Diana,1236.63,8446,2720,145,15952.09
2023-05-08,Organic,Campaign E,North America,Diana,1497.76,39392,356,88,9681.27
2023-02-08,Organic,Campaign A,Europe,Diana,1996.86,8461,506,186,20462.68
2023-12-04,Organic,Campaign B,APAC,Frank,1872.92,35587,2257,395,43455.7
2023-12-26,Organic,Campaign D,North America,Frank,1320.87,11516,380,83,9131.2
2023-05-09,Facebook Ads,Campaign E,APAC,Alice,900.37,14749,2873,219,24093.16
2023-09-24,Facebook Ads,Campaign B,LATAM,Diana,1308.74,18514,274,18,1980.26
2023-05-31,LinkedIn,Campaign E,Europe,Eva,1592.74,36426,2826,219,24093.16
2023-10-25,Google Ads,Campaign C,Europe,Bob,324.84,37268,1529,407,44775.87
2023-04-09,Organic,Campaign A,North America,Carlos,878.82,25950,1132,132,14521.9
2023-09-20,Google Ads,Campaign C,North America,Eva,1695.62,35888,693,314,34544.53
2023-09-09,Google Ads,Campaign B,Europe,Frank,829.28,37788,665,481,52916.94
2023-05-24,LinkedIn,Campaign D,APAC,Frank,1186.56,11213,244,252,27723.63
2023-12-12,Organic,Campaign E,APAC,Eva,1216.76,37027,538,408,44885.88
2023-04-22,Organic,Campaign A,LATAM,Frank,450.5,29011,2254,33,3630.48
2023-03-01,Email,Campaign E,APAC,Diana,788.25,43849,2707,284,31244.1
2023-01-02,Google Ads,Campaign B,North America,Alice,735.57,35591,1299,342,37624.93
2023-10-31,Google Ads,Campaign E,North America,Bob,149.77,18858,2509,323,35534.66
2023-09-11,Facebook Ads,Campaign A,APAC,Alice,145.96,19626,1152,206,22662.97
2023-05-20,Email,Campaign B,North America,Bob,1680.22,14467,1197,365,40155.26
2023-02-06,Facebook Ads,Campaign E,Europe,Bob,618.83,40758,2568,61,6710.88
2023-06-09,Facebook Ads,Campaign D,Europe,Alice,1084.35,4134,1291,396,43565.71
2023-01-09,Facebook Ads,Campaign B,APAC,Eva,667.58,17743,565,222,24423.2
2023-08-21,LinkedIn,Campaign B,Europe,Bob,1887.29,16434,1675,66,7260.95
2023-04-09,LinkedIn,Campaign D,Europe,Alice,592.66,48775,1177,161,17712.32
2023-05-27,Facebook Ads,Campaign C,LATAM,Bob,916.35,11233,442,206,22662.97
2023-10-31,Email,Campaign A,LATAM,Carlos,1758.19,2141,680,21,2310.3
2023-07-27,Google Ads,Campaign C,Europe,Eva,1699.67,19019,1897,326,35864.7
2023-05-11,Email,Campaign E,APAC,Diana,453.59,21384,2705,10,1100.14
2023-06-01,Organic,Campaign D,LATAM,Bob,1625.02,43903,1029,62,6820.89
2023-02-23,LinkedIn,Campaign C,North America,Carlos,970.56,46734,483,329,36194.74
2023-04-30,Google Ads,Campaign B,North America,Diana,1017.64,37129,2637,416,45766.0
2023-06-10,Google Ads,Campaign E,North America,Diana,353.61,23967,327,322,35424.64
2023-04-26,Organic,Campaign E,APAC,Bob,253.14,41603,282,173,19032.49
2023-03-16,Organic,Campaign C,Europe,Alice,1483.08,12172,1602,457,50276.59
2023-04-23,Facebook Ads,Campaign C,North America,Bob,1043.28,17390,1644,86,9461.24
2023-04-14,LinkedIn,Campaign D,APAC,Carlos,930.02,4267,1163,478,52586.89
2023-12-06,LinkedIn,Campaign A,LATAM,Diana,1486.07,40332,2459,472,51926.81
2023-09-11,Email,Campaign C,Europe,Bob,1554.47,27167,75,429,47196.19
2023-08-15,Facebook Ads,Campaign C,LATAM,Alice,401.93,22312,1467,437,48076.3
2023-04-22,Facebook Ads,Campaign B,APAC,Bob,1259.43,28840,2604,223,24533.22
2023-04-09,Facebook Ads,Campaign E,North America,Eva,357.17,19990,2364,181,19912.61
2023-06-02,Facebook Ads,Campaign A,North America,Alice,1527.61,45179,510,208,22883.0
2023-12-15,LinkedIn,Campaign B,APAC,Carlos,1348.21,6906,2553,75,8251.08
2023-12-04,LinkedIn,Campaign D,North America,Diana,1917.57,49796,1141,391,43015.64
2023-07-13,Facebook Ads,Campaign D,Europe,Bob,231.02,41379,1056,270,29703.89
2023-11-06,Email,Campaign C,APAC,Alice,208.4,18297,2960,102,11221.47
2023-06-12,Google Ads,Campaign C,LATAM,Eva,636.16,3011,2044,349,38395.03
2023-07-27,Google Ads,Campaign D,APAC,Alice,597.24,45014,540,295,32454.25
2023-06-18,Email,Campaign C,Europe,Frank,569.26,47558,1122,212,23323.06
2023-06-10,Facebook Ads,Campaign A,Europe,Eva,1821.88,12738,2661,6,660.09
2023-03-09,LinkedIn,Campaign C,APAC,Carlos,574.14,29797,265,128,14081.85
2023-10-16,Google Ads,Campaign E,APAC,Diana,616.7,48498,1773,284,31244.1
2023-10-04,Organic,Campaign C,North America,Carlos,1542.86,12120,1642,78,8581.12
2023-10-31,Organic,Campaign B,Europe,Bob,954.51,9767,2656,170,18702.45
2023-05-15,Email,Campaign A,APAC,Alice,1575.75,23852,208,26,2860.37
2023-07-14,Facebook Ads,Campaign B,APAC,Frank,224.2,14703,2586,158,17382.28
2023-05-08,Google Ads,Campaign B,Europe,Eva,1026.39,1929,735,431,47416.22
2023-02-02,Facebook Ads,Campaign E,APAC,Eva,163.87,12951,2891,443,48736.39
2023-06-25,Google Ads,Campaign A,North America,Alice,219.04,27039,1826,299,32894.31
2023-01-22,Email,Campaign A,Europe,Frank,1822.23,49613,2102,223,24533.22
2023-08-26,Email,Campaign A,North America,Alice,364.57,30504,1893,161,17712.32
2023-06-07,Organic,Campaign A,North America,Bob,1111.6,18438,2458,499,54897.2
2023-02-07,Facebook Ads,Campaign A,North America,Carlos,881.08,49515,2556,234,25743.37
2023-08-18,Organic,Campaign E,North America,Eva,759.95,6744,2345,24,2640.35
2023-12-31,Facebook Ads,Campaign C,Europe,Bob,1809.68,19284,1639,479,52696.91
2023-02-20,Organic,Campaign B,North America,Carlos,141.46,43417,1746,45,4950.65
2023-09-21,LinkedIn,Campaign A,North America,Bob,1361.2,40748,2519,442,48626.37
2023-10-10,LinkedIn,Campaign C,APAC,Frank,1930.45,8069,1996,152,16722.19
2023-01-27,LinkedIn,Campaign C,Europe,Eva,1164.32,43359,2112,112,12321.62
